dA 67,dA 80,dA 113,label
-0.02286,-0.010823,0.042565,1
-0.018597,-0.01132,0.038748,1
-0.017704,-0.008645,0.029946,1
-0.010421,-0.004227,0.035999,1
-0.013933,-0.009474,0.012048,1
-0.01201,-0.003679,0.017341,1
-0.019537,-0.007169,0.032221,1
-0.024499,-0.009979,0.006781,1
-0.019966,-0.010202,0.019741,1
-0.017778,-0.007684,0.034761,1
-0.019171,-0.009801,0.030269,1
-0.023505,-0.010437,0.035776,1
-0.012143,-0.004438,0.027028,1
-0.013126,-0.008967,0.029134,1
-0.020055,-0.007399,0.035071,1
-0.011428,-0.002924,0.001339,1
-0.017121,-0.007407,0.038424,0
-0.016013,-0.005924,0.044415,0
-0.012207,-0.006579,0.022997,1
-0.018069,-0.009076,0.018128,1
-0.012483,-0.004542,0.035321,1
-0.014791,-0.005022,0.031392,0
-0.012534,-0.004695,0.034528,1
-0.002362,0.00011,0.0059,1
-0.010447,-0.005386,0.005933,1
-0.0055,-0.002934,0.004662,1
-0.005298,-0.002968,0.022873,1
-0.009541,-0.005521,0.022486,1
-0.012679,-0.004703,0.018302,1
-0.015949,-0.007685,0.025989,1
-0.014951,-0.00541,0.038658,1
-0.011724,-0.003498,0.034223,1
-0.010054,-0.002623,0.034129,1
-0.006839,-0.003674,0.01985,1
-0.009768,-0.00113,0.030146,1
-0.017447,-0.006683,0.034687,0
-0.02024,-0.007996,0.036835,0
-0.015405,-0.00619,0.037935,0
-0.018991,-0.007282,0.041259,0
-0.018991,-0.007282,0.041259,1
-0.011477,-0.004229,0.029689,1
-0.010749,-0.004545,0.02876,1
-0.010105,-0.003988,0.03733,1
-0.016215,-0.004105,0.034316,1
-0.00822,-0.002461,0.029934,0
-0.011661,-0.00139,0.015729,1
-0.011605,-0.003956,0.037291,1
-0.01419,-0.006033,0.034318,1
-0.004348,0.001207,0.00186,1
-0.008339,-0.003436,0.030443,1
-0.011883,-0.003287,0.033727,1
-0.013762,-0.005929,0.031808,1
-0.004312,-0.00219,0.015372,1
-0.010357,-0.002018,0.030876,1
-0.015257,-0.006817,0.040764,1
-0.011224,-0.003933,0.038266,1
-0.00836,-0.003743,0.035108,1
-0.025828,-0.011153,0.037836,1
