dA 50,dA 147,ddA 50,label
0.006426,0.001511,-0.001717,0
0.00808,0.001258,-0.002368,0
0.009138,0.001921,-0.0011,0
0.005361,0.002113,0.00045,0
0.008929,0.001776,-0.00155,0
0.005582,0.001509,-0.00099,0
0.008547,0.00148,-0.002568,0
0.00513,0.001143,-0.001522,0
0.011479,0.00033,-0.003154,0
0.010572,0.000428,-0.001301,1
0.011101,0.000689,-0.001102,0
0.013437,0.00016,-0.003381,0
0.009305,0.00085,-0.002304,1
0.005419,0.000959,-0.001551,1
0.004854,0.001362,-0.001501,1
0.008525,0.000551,-0.00097,1
0.007122,0.001364,-0.00063,1
0.007977,0.000432,-0.001347,0
0.006392,0.001151,-0.002516,1
0.009139,0.000674,-0.002341,1
0.008433,0.00031,-0.001317,1
0.004555,0.001057,0.001202,1
0.004555,0.001057,0.001202,1
0.009677,0.001566,-0.002637,1
0.00966,0.001902,-0.002434,1
0.010136,0.001489,-0.001561,1
0.006969,0.000263,-0.00184,0
0.006575,0.001228,-0.00226,1
0.008515,0.001147,-0.002117,1
0.00816,0.000655,-0.002749,1
0.00816,0.000655,-0.002749,1
0.005651,0.001456,-0.001166,1
0.004454,0.001633,-0.001534,1
0.006174,0.002957,-0.002042,1
0.003374,0.003232,0.001234,1
0.006816,0.002042,-0.000555,1
0.007179,0.002462,-0.002821,1
0.00641,0.002177,-0.002073,0
0.008204,0.002061,-0.001854,1
0.00518,0.001386,-0.002027,1
0.007488,0.001739,-0.002264,1
0.00649,0.00148,-0.001708,1
0.008965,0.00002,-0.002695,0
0.008498,0.000997,-0.000821,0
0.010254,-0.000078,-0.002191,0
0.011637,-0.000115,-0.002591,0
0.011022,-0.000128,-0.002984,0
0.009788,0.00124,-0.002043,0
0.012771,0.000559,-0.002875,0
0.008684,0.00124,-0.001543,0
0.011251,0.000238,-0.001795,0
0.00701,0.000002,-0.002214,0
0.00701,0.000002,-0.002214,0
0.008659,-0.000107,-0.002359,0
0.007541,0.000346,-0.001845,0
0.007541,0.000346,-0.001845,0
0.010435,0.000624,-0.002143,0
0.007802,0.000028,-0.001307,0
0.010381,0.000897,-0.002313,0
0.010055,0.001086,-0.002943,1
0.006859,0.001697,-0.002282,1
0.006859,0.001697,-0.002282,1
0.004362,0.000854,-0.000183,1
0.004934,0.001499,-0.001488,1
0.006863,-0.000348,-0.002588,1
0.006863,-0.000348,-0.002588,1
0.008243,0.000717,-0.002725,1
0.006399,0.0014,-0.001505,0
0.010123,0.001819,-0.002042,1
0.009361,0.000441,-0.003323,1
0.008468,0.001637,-0.001432,1
0.007371,0.000832,-0.001569,1
0.010316,0.000317,-0.003456,1
0.007818,0.001287,-0.002288,1
0.007993,0.000533,-0.001758,1
0.006705,0.001898,-0.001579,1
0.009623,0.001619,-0.001427,1
