dA 81,dA 217,ddA 111,label
-0.003088,-0.002462,0.004945,1
0.004864,-0.00133,-0.001145,1
0.000672,-0.001975,0.003405,1
-0.000918,0.001114,0.006926,1
0.008705,0.00253,-0.003834,1
0.003918,-0.000481,-0.000369,1
-0.001942,-0.001657,0.005398,1
-0.002389,-0.000869,0.003113,1
-0.001958,-0.000015,0.002928,1
-0.00174,-0.000625,-0.001076,1
-0.001381,-0.002549,-0.00099,1
-0.001339,0.00109,0.003514,1
0.00799,0.000552,0.000665,1
-0.002947,-0.001505,0.006066,0
-0.003805,-0.001859,0.007972,0
-0.001738,-0.001379,-0.002504,1
0.003797,-0.001157,-0.002502,1
-0.004385,-0.000119,0.005604,1
-0.001849,-0.002561,0.007362,0
-0.004394,-0.002955,0.006143,1
0.006817,-0.003167,-0.000818,1
0.007256,-0.002721,-0.00157,1
0.009275,-0.003058,0.000837,1
0.003583,-0.002144,0.000359,1
0.004804,0.002017,-0.002183,1
0.003852,-0.000966,0.002461,1
-0.000901,-0.000981,0.003622,1
-0.001694,-0.00349,0.003551,1
-0.002195,-0.001166,0.006127,1
-0.001087,-0.001887,0.00472,1
-0.000284,0.001777,-0.003568,1
-0.001714,-0.007578,0.006609,1
-0.002625,-0.001753,0.006939,0
-0.00307,-0.001129,0.008193,0
-0.002828,-0.001856,0.00758,0
-0.001497,-0.002922,0.007217,0
-0.001497,-0.002922,0.007217,1
-0.002125,-0.001242,0.00664,1
-0.002061,-0.001038,0.002375,1
-0.003208,-0.001364,0.006164,1
0.002532,-0.001679,-0.000243,1
-0.002738,-0.00092,0.00659,0
0.004926,-0.002179,0.000671,1
-0.000668,-0.003674,-0.000197,1
-0.001474,-0.000991,0.004066,1
0.008191,-0.003982,0.000237,1
-0.003104,-0.000806,0.004751,1
-0.001922,-0.000544,0.006437,1
-0.000964,-0.000155,0.001826,1
0.000978,0.000656,-0.004628,1
0.000074,-0.00308,0.004002,1
-0.001657,-0.000032,0.00473,1
-0.00151,-0.002711,0.005229,1
0.000527,-0.00039,0.001124,1
-0.00257,0.001759,0.002703,1
-0.004506,0.000652,0.005372,1
-0.002892,0.003298,0.00193,1
0.006326,-0.000457,0.00041,1
0.000397,0.002261,-0.000162,1
0.003591,0.003545,-0.001681,1
0.005215,0.00052,-0.000833,1
0.005108,-0.000748,-0.000988,1
0.003027,-0.000811,-0.000514,1
0.003027,-0.000811,-0.000514,1
0.00878,0.000487,-0.001457,1
-0.001002,0.00148,0.001748,1
0.001677,0.00331,0.003985,1
0.001677,0.00331,0.003985,1
0.00752,0.001229,0.001364,1
0.00011,0.003143,0.001397,1
0.010051,-0.001289,-0.001567,1
-0.001165,0.000315,0.003242,1
0.01428,0.001504,-0.001164,1
0.01428,0.001504,-0.001164,1
0.00817,0.000217,-0.001294,1
-0.000338,0.001232,0.005835,1
0.003586,0.007578,0.001129,1
-0.004803,-0.001793,0.008574,0
-0.004162,-0.000185,0.005676,1
-0.003754,0.001276,0.006599,1
0.002294,-0.000441,-0.002466,1
0.000162,0.001216,0.003051,1
0.001871,0.001147,-0.001992,1
-0.00195,0.000588,0.004535,1
-0.000542,0.000794,0.002524,1
-0.001256,-0.000543,0.003354,1
-0.001256,-0.000543,0.003354,1
-0.000115,0.000684,0.002203,1
0.004915,-0.000707,0.001247,1
0.000948,-0.000252,0.001086,1
-0.002752,-0.000789,0.006248,0
0.007052,0.00112,-0.00221,1
-0.001196,-0.00009,0.005235,1
0.001018,-0.001015,0.002593,1
0.00189,0.000614,0.004017,1
-0.000076,0.000022,0.001998,1
-0.001228,-0.001442,0.003076,1
0.008068,0.002249,-0.001905,1
-0.001712,-0.001217,0.005148,1
0.002042,0.003107,-0.000996,1
0.002042,0.003107,-0.000996,1
0.003691,0.000951,-0.002493,1
0.011776,-0.000078,-0.000358,1
0.007687,-0.000563,-0.001102,1
-0.001693,0.004136,0.002925,1
0.006268,0.002061,-0.000973,1
0.006799,0.001851,-0.001565,1
0.006799,0.001851,-0.001565,1
0.006041,-0.002355,-0.000763,1
-0.00083,0.002117,0.003808,1
0.015386,0.002725,-0.000061,1
0.015386,0.002725,-0.000061,1
-0.000583,-0.000037,0.004047,1
0.001585,0.003392,0.00063,1
-0.004054,-0.000654,0.00733,0
-0.003555,0.000338,0.006353,0
-0.003711,0.001599,0.002742,0
-0.004169,0.000271,0.002705,0
-0.004453,-0.000133,0.007618,0
-0.003832,0.000235,0.009057,0
-0.004155,-0.003459,0.009051,0
-0.004929,-0.000258,0.003348,0
-0.000052,0.001639,0.000485,0
-0.005072,-0.002822,0.008369,0
-0.00264,0.00013,0.005982,0
-0.00264,0.00013,0.005982,0
-0.001623,0.000177,0.008991,0
-0.000948,0.001102,0.007462,0
0.001646,-0.000112,0.005413,0
0.006158,-0.00522,-0.002109,1
-0.0002,-0.001219,0.002288,1
0.012984,-0.001041,-0.000855,1
0.011443,-0.002467,-0.001513,1
0.008713,0.001563,-0.000012,1
0.00604,-0.002235,-0.000372,1
0.00818,0.000645,-0.001501,1
-0.000221,0.0023,0.003978,1
0.003647,0.000959,0.000488,1
-0.001735,0.0015,0.004802,1
-0.001678,-0.001717,0.005854,1
-0.001351,-0.004323,0.006898,1
-0.002313,-0.000605,0.007146,0
0.011293,-0.001087,-0.000721,1
0.001292,0.001509,0.001587,1
0.003002,-0.000621,-0.002549,1
0.00133,0.003005,0.003708,1
0.010521,0.001056,-0.001308,1
0.010521,0.001056,-0.001308,1
0.011703,-0.000032,-0.000959,1
0.011703,-0.000032,-0.000959,1
0.000094,0.001098,0.005169,1
0.007886,-0.000641,-0.00116,1
0.005846,-0.002578,-0.002684,1
0.002222,0.000204,-0.000808,1
0.001486,0.000387,0.001867,1
-0.0001,0.00099,0.003808,1
0.000417,0.001903,0.002471,1
-0.003117,0.00326,0.006242,1
0.005727,-0.004991,-0.00048,1
-0.000601,-0.002541,0.004797,1
0.000717,-0.000413,0.002265,1
-0.00174,0.00257,0.003743,1
-0.001061,0.000473,0.00413,1
-0.001593,-0.001073,0.00464,1
0.008279,0.001398,-0.000016,1
-0.002687,0.000895,0.002751,1
0.002306,0.000172,0.001593,1
-0.002175,0.000479,0.00561,1
0.001348,0.000916,-0.000415,1
0.007609,-0.002671,-0.001397,1
0.007597,-0.001966,0.002241,1
0.001271,0.00009,0.002135,1
0.011242,0.000649,-0.001562,1
0.007602,0.001229,-0.001476,1
0.002964,0.001983,0.001759,1
0.003142,-0.000364,0.002279,1
0.001352,-0.000984,0.003083,1
-0.001251,-0.00088,0.006973,1
-0.003692,-0.000812,0.007754,0
-0.002357,-0.001688,0.003378,0
-0.00127,-0.001241,0.001255,0
-0.002608,-0.000228,0.006534,0
-0.002764,-0.002037,0.007699,0
-0.002374,0.001535,0.005486,0
-0.003981,-0.002126,0.009078,0
-0.001619,-0.00015,0.003925,0
-0.004199,-0.000675,0.009336,0
-0.002319,-0.00246,0.005212,0
-0.000043,-0.005805,-0.002311,0
-0.002584,-0.001303,0.006916,0
-0.003367,-0.001781,0.008419,0
0.007675,-0.001132,-0.000837,1
0.004549,-0.003233,-0.000748,1
0.001939,-0.000067,0.002012,1
-0.001175,0.000027,-0.003183,1
0.009229,-0.002391,-0.001006,1
-0.000847,-0.00328,0.00386,1
-0.001853,-0.000573,0.002755,1
-0.001396,0.000234,0.003576,1
0.001537,0.001579,-0.000985,1
-0.000693,0.001718,0.003549,1
0.000252,0.002835,-0.002582,1
-0.001935,0.00307,0.003963,1
-0.000097,0.008417,-0.00146,1
-0.003128,0.002617,-0.002339,1
-0.005524,0.003051,0.003297,0
-0.003587,0.003009,0.002042,0
-0.005981,0.002303,0.005744,0
-0.004246,0.001126,0.002272,1
0.001503,0.004962,-0.002619,1
0.00242,0.012897,-0.000884,1
-0.001699,0.011167,0.001679,1
0.004738,0.000788,-0.000538,1
0.001082,-0.000179,-0.000627,1
0.00367,0.002399,0.000069,1
0.00008,0.005157,-0.001881,1
-0.005973,0.001633,-0.003041,1
-0.003115,0.002081,0.001048,1
-0.001445,0.006737,0.001873,1
-0.005694,0.005515,0.006581,1
-0.005758,-0.002,-0.000308,1
0.000617,0.000984,0.000468,1
0.000857,0.004748,-0.000613,1
0.002092,0.003447,-0.001216,1
0.004064,-0.000482,-0.001259,1
0.000718,0.002058,-0.000843,1
0.003528,0.003194,-0.00016,0
-0.0061,0.007157,0.003535,0
-0.004595,0.006747,0.001914,0
-0.005421,0.010623,0.002588,1
0.003436,0.008739,-0.00284,1
0.003118,0.010138,-0.001453,1
-0.0002,0.009336,-0.00029,1
-0.004313,0.005927,0.002607,1
-0.002581,0.001016,-0.003907,1
-0.00302,0.001132,-0.000628,1
-0.004099,0.003592,0.000052,1
-0.005546,0.008842,-0.006215,1
-0.007543,0.007648,0.002929,1
-0.007635,0.005895,0.004422,1
-0.005638,0.010549,0.004112,1
0.000663,0.002537,-0.00017,1
-0.000587,0.008161,0.000678,1
-0.000457,0.004958,-0.00013,1
0.002823,0.004754,0.000546,1
-0.004869,0.006661,-0.001915,1
-0.005178,0.007655,-0.007074,1
-0.00535,0.00224,0.002684,1
-0.004139,0.006223,0.001936,1
-0.00375,0.004869,-0.001736,1
-0.002337,0.003942,-0.001611,0
-0.001722,0.008863,0.003423,1
-0.001722,0.008863,0.003423,1
0.000197,0.003287,-0.000662,1
-0.002291,0.002828,-0.001356,1
-0.006308,0.008465,0.002411,1
-0.007222,0.008684,0.004142,1
0.001303,0.003598,-0.000842,1
0.001905,0.002624,-0.000451,1
-0.000231,0.000429,-0.000639,1
0.00499,0.00027,-0.001798,1
-0.002423,0.00785,0.002974,1
0.00076,0.007318,0.000462,1
-0.001217,0.00624,-0.002206,1
0.002236,0.003035,0.001084,1
-0.004616,0.00366,0.003735,1
-0.004503,0.004808,0.002621,0
-0.003631,0.005647,0.005785,0
-0.006294,0.004771,0.006145,0
-0.008794,0.008968,0.003153,0
-0.009321,0.003584,0.006319,0
-0.006547,0.007154,-0.001921,0
-0.00733,0.008584,0.006191,0
-0.004914,0.007019,0.001357,0
-0.005758,0.00304,0.005035,0
-0.006236,0.0059,0.003465,0
-0.003543,0.003554,0.001077,0
-0.006409,0.002775,0.004773,0
-0.006193,0.002172,0.003472,0
-0.00556,0.001106,0.008293,0
-0.006706,0.002666,0.004926,0
-0.00515,0.002317,0.001658,0
-0.006087,0.002522,0.006858,0
-0.004851,0.003704,0.003325,0
-0.008517,0.003802,0.004721,0
-0.007043,0.005937,0.004697,0
-0.006869,0.003991,0.000158,0
0.006318,0.0004,-0.00104,1
0.008131,-0.000711,-0.000179,1
0.005647,0.00089,-0.000506,1
0.00024,-0.001277,-0.003003,1
0.000682,-0.003329,-0.001602,1
0.005961,0.001263,-0.001154,1
0.00735,-0.005323,-0.003203,1
0.005843,-0.000517,-0.000467,1
0.008406,0.000295,0.000687,1
0.007959,-0.00199,0.000883,1
0.005463,-0.000268,-0.000051,1
0.006949,0.001586,-0.000423,1
0.003759,-0.000633,-0.001092,1
0.003759,-0.000633,-0.001092,1
0.00754,-0.008083,0.000219,1
0.003507,-0.004264,-0.00584,1
-0.002781,-0.000007,-0.001159,1
-0.003013,-0.003072,0.00367,1
0.000866,0.00258,-0.002303,1
0.000866,0.00258,-0.002303,1
0.006102,-0.001114,-0.002419,1
-0.000096,-0.001026,0.003951,1
0.007018,0.000811,-0.0004,1
0.007018,0.000811,-0.0004,1
0.003858,-0.005173,-0.002781,1
0.007273,0.001416,-0.000329,1
0.007273,0.001416,-0.000329,1
0.000769,-0.002289,-0.001633,1
0.006384,-0.001716,-0.000133,1
0.001298,-0.00058,-0.002889,1
0.00291,-0.003272,-0.004058,1
0.003749,-0.001441,0.000774,1
0.003551,-0.000704,-0.002356,1
0.006499,0.000257,-0.000302,1
0.006499,0.000257,-0.000302,1
0.006499,0.000257,-0.000302,1
0.008801,-0.004874,0.000122,1
0.00995,0.00016,0.00007,1
0.00995,0.00016,0.00007,1
0.005774,0.002041,0.00104,1
0.004025,-0.005354,-0.003347,1
0.002401,-0.002304,-0.000976,1
-0.003552,-0.001736,0.00401,0
-0.002765,-0.000875,0.002029,0
-0.001521,0.000798,0.004698,0
-0.003985,-0.000884,0.004299,0
-0.002942,0.000389,0.001529,0
-0.004536,0.000422,0.002841,0
-0.005575,-0.001449,0.004008,0
-0.00305,0.000381,0.000135,0
-0.002252,-0.000376,0.003591,0
-0.000779,-0.002647,-0.001126,0
-0.002543,-0.001909,0.001217,0
-0.002543,-0.001909,0.001217,0
-0.003936,-0.001954,0.005901,0
-0.004355,-0.000914,0.003993,0
-0.002443,0.000925,0.006803,0
-0.003157,-0.001225,0.000949,0
-0.004988,-0.00224,0.006978,0
-0.004289,-0.003218,0.002833,0
-0.004289,-0.003218,0.002833,0
0.009202,-0.002878,-0.001297,1
0.010085,-0.003495,0.000279,1
0.007944,-0.002059,-0.000479,1
0.004415,-0.001222,-0.001727,1
0.005377,-0.001456,-0.000896,1
0.006404,-0.001617,-0.000398,1
0.007194,-0.004714,-0.002982,1
0.010035,-0.004498,0.000338,1
0.007304,-0.005375,-0.001401,1
0.007304,-0.005375,-0.001401,1
0.007791,-0.002467,0.000269,1
0.005742,-0.001244,-0.00053,1
0.006941,-0.002733,-0.000495,1
0.002931,-0.002453,-0.004093,1
0.007365,-0.004229,0.000191,1
0.008977,-0.001724,0.000463,1
0.006323,-0.001576,-0.001652,1
-0.000888,-0.004137,0.00229,1
0.005738,-0.005114,-0.001599,1
0.009072,-0.002491,0.000252,1
0.008997,0.001473,-0.0011,1
0.004145,-0.00109,-0.000819,1
0.006747,-0.003408,-0.000106,1
0.004684,-0.003672,0.002431,1
0.006661,-0.00332,0.000205,1
0.006185,-0.001135,0.000249,1
0.004841,-0.001091,-0.000766,1
0.006292,-0.004315,-0.000576,1
-0.00479,-0.003588,0.006255,0
-0.003892,-0.003107,0.002976,0
-0.001496,-0.003199,0.003364,0
-0.002121,-0.002598,-0.004072,0
-0.004279,-0.002877,0.006429,0
-0.004126,-0.002417,0.003242,0
-0.003416,-0.002267,0.002506,0
-0.00354,-0.003223,0.003239,0
-0.002246,-0.003146,0.001892,0
-0.002316,-0.002108,0.003028,0
-0.002792,-0.002981,0.005604,0
-0.003942,-0.002229,0.003646,0
-0.003383,-0.002136,0.001722,0
-0.004533,-0.001733,0.006827,0
-0.002769,-0.000863,0.006308,0
-0.002669,-0.001092,0.000903,0
-0.004097,-0.002392,0.005909,0
-0.001366,-0.002475,0.000366,0
-0.001988,-0.002541,-0.000305,0
-0.002917,-0.002278,0.004717,0
-0.004418,-0.001663,0.001131,0
-0.00456,-0.001279,0.008567,0
-0.001814,-0.000477,-0.002569,0
-0.000267,-0.000961,-0.005229,0
-0.00312,-0.002409,0.005322,0
-0.003376,-0.001861,0.005149,1
-0.000588,-0.004165,0.003625,1
-0.004217,-0.000848,0.00775,0
-0.004483,-0.000982,0.007005,0
-0.003458,-0.000714,0.006475,0
-0.002782,-0.003709,0.005531,0
-0.003112,-0.002664,0.006271,0
-0.00329,-0.003295,0.004934,1
-0.0038,-0.000115,0.006556,0
-0.002416,-0.000283,0.0049,1
-0.0035,-0.001478,0.007752,0
-0.004099,0.000669,0.007916,1
-0.002455,-0.000453,0.004936,1
-0.002601,-0.003266,0.006108,1
-0.003407,-0.002361,0.006655,1
-0.002398,-0.002233,0.005394,1
-0.002759,-0.001518,0.00703,0
-0.004389,0.000385,0.007073,1
-0.003255,-0.004071,0.006825,1
-0.004116,-0.00115,0.007197,1
-0.003365,-0.004661,0.006787,1
-0.003846,0.000574,0.005611,1
-0.001828,-0.000816,0.00444,1
-0.00403,-0.001003,0.008085,0
-0.004484,-0.002348,0.008209,1
-0.002289,-0.001246,0.00491,1
-0.001969,-0.00216,0.004932,1
-0.003436,-0.003418,0.005438,0
-0.001709,-0.001236,0.003609,0
-0.002815,-0.004008,0.005151,0
-0.004545,-0.003787,0.003423,0
-0.002967,-0.000679,0.006302,0
-0.002935,-0.001558,0.005586,0
-0.002611,-0.000591,0.004571,0
-0.004359,-0.000948,0.007489,0
-0.002929,-0.001718,0.006331,0
-0.002929,-0.001718,0.006331,0
-0.002929,-0.001718,0.006331,0
-0.002929,-0.001718,0.006331,0
-0.005356,-0.001825,0.008221,0
-0.005318,0.000743,0.008275,0
-0.003985,0.001739,0.006036,0
-0.006136,0.000527,0.000817,0
-0.004059,0.000328,0.007059,0
-0.003689,-0.002241,0.004929,0
-0.004134,-0.002302,0.006931,0
-0.004399,-0.000962,0.007595,0
-0.003052,0.000052,0.006097,0
-0.003571,0.000041,0.005996,0
-0.003181,-0.000174,0.006703,0
-0.004004,0.000119,0.008792,0
-0.003799,-0.002358,0.007371,0
-0.003374,0.000774,0.005953,1
-0.003453,0.000611,0.005748,0
-0.001556,0.001966,0.003005,0
-0.004134,-0.001296,0.008702,1
-0.004134,-0.001296,0.008702,1
-0.004686,0.001028,0.007974,0
-0.00386,-0.000906,0.008647,0
-0.003821,-0.001654,0.007104,0
-0.003317,0.000397,0.007707,0
-0.003513,0.000551,0.007254,0
-0.004451,-0.001308,0.00953,0
-0.002855,-0.000452,0.007697,0
-0.003715,-0.001874,0.00839,0
-0.004258,-0.000514,0.008375,0
-0.003901,-0.001883,0.007928,0
-0.00264,0.001556,0.005402,0
0.004301,0.003445,-0.001039,1
-0.002145,0.001195,0.004995,1
